time;logger;level;message;exception
2012-02-25 19:12:15.3196;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Temp%2fTasks%2fByCreatedAt_Date:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fTasks_2fByCreatedAt_Date : AbstractViewGenerator
{
	public Index_Temp_2fTasks_2fByCreatedAt_Date()
	{
		this.ViewText = @""from doc in docs.Tasks
select new { CreatedAt_Date = doc.CreatedAt.Date }
"";
		this.ForEntityNames.Add(""Tasks"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Tasks""
			select new { CreatedAt_Date = doc.CreatedAt.Date, __document_id = doc.__document_id });
		this.AddField(""CreatedAt_Date"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""CreatedAt.Date"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""CreatedAt.Date"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fTasks_2fByCreatedAt_Date : AbstractViewGenerator
{
	public Index_Temp_2fTasks_2fByCreatedAt_Date()
	{
		this.ViewText = @""from doc in docs.Tasks
select new { CreatedAt_Date = doc.CreatedAt.Date }
"";
		this.ForEntityNames.Add(""Tasks"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""Tasks""
			select new { CreatedAt_Date = doc.CreatedAt.Date, __document_id = doc.__document_id });
		this.AddField(""CreatedAt_Date"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""CreatedAt.Date"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""CreatedAt.Date"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-02-25 19:12:15.3266;Raven.Database.Indexing.IndexStorage;Info;Creating index Temp/Tasks/ByCreatedAt_Date with encoded name Temp/Tasks/ByCreatedAt_Date;
2012-02-25 19:12:15.5107;Raven.Database.Server.HttpServer;Debug;Request #   7: GET     -   519 ms - <default>  - 200 - /stats?noCache=426525576;
2012-02-25 19:12:15.6997;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Temp/Tasks/ByCreatedAt_Date;
2012-02-25 19:12:15.7257;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 5 - step 1/2;
2012-02-25 19:12:15.7257;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 6 - step 2/2;
2012-02-25 19:12:15.7467;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work;
2012-02-25 19:12:15.7617;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work;
2012-02-25 19:12:15.7617;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work;
2012-02-25 19:12:15.7987;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 6, currentWorkCounter: 6, will wait for additional work;
